match_id,year,stage,stage_numeric,is_knockout,date,venue,team,opponent,is_home,team_confederation,opp_confederation,same_confederation,is_host,opp_is_host,neutral_venue,team_elo,opp_elo,elo_diff,elo_win_prob,form_5,opp_form_5,form_diff,goals_scored_form5,goals_conceded_form5,opp_goals_scored_form5,wc_appearances,opp_wc_appearances,wc_wins,opp_wc_wins,wc_finals,opp_wc_finals,wc_semis,opp_wc_semis,wc_avg_goals,h2h_winrate,h2h_matches,rest_days,opp_rest_days,rest_days_adv,tournament_match_num,tourn_matches_played,tourn_goals_for,tourn_goals_against,tourn_goal_diff,tourn_wins,tourn_winrate,tourn_goals_per_match,tourn_shots,tourn_xg,shots,shots_on_target,shot_accuracy,possession,fouls,yellow_cards,red_cards,offsides,corners,xg,opp_xg,xg_diff,sb_squad_size,sb_yellow_cards,sb_red_cards,goals_scored,goals_conceded,goal_diff,result,result_code,win_condition,goals_scored_et,half_time_goals,half_time_available,attendance,team_conf_code,opp_conf_code,squad_xg_per_match,squad_goals_per_match,squad_shots_per_match,squad_key_passes_per_match,squad_interceptions_per_match,squad_dribbles_per_match,squad_squad_pass_accuracy,squad_squad_players_used,opp_squad_xg_per_match,opp_squad_goals_per_match,opp_squad_shots_per_match,opp_squad_key_passes_per_match,opp_squad_interceptions_per_match,opp_squad_dribbles_per_match,opp_squad_squad_pass_accuracy,opp_squad_squad_players_used,squad_avg_age,opp_squad_avg_age,avg_club_prestige,max_club_prestige,opp_avg_club_prestige,opp_max_club_prestige,club_prestige_diff,age_diff,split,data_tier
1,1930,Group Stage,1,0,1930-07-13,Pocitos,France,Mexico,1,UEFA,CONCACAF,0,0,0,1,1394.62,1492.04,-97.42000000000009,0.3634,0.1,0.7,-0.6,1.2,3.2,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,4.0,4.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,4,1,3,Win,2,Full Time,,3.0,1.0,4444.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,6.435,9.5,6.435,9.5,0.0,0.0,train,tier3
1,1930,Group Stage,1,0,1930-07-13,Pocitos,Mexico,France,0,CONCACAF,UEFA,0,0,0,1,1492.04,1394.62,97.42000000000009,0.6366,0.7,0.1,0.6,2.4,2.4,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,4.0,4.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,1,4,-3,Loss,0,Full Time,,0.0,1.0,4444.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,6.435,9.5,6.435,9.5,0.0,0.0,train,tier3
2,1930,Group Stage,1,0,1930-07-13,Parque Central,USA,Belgium,1,CONCACAF,UEFA,0,0,0,1,1500.0,1861.09,-361.0899999999999,0.1112,0.5,0.5,0.0,1.5,1.5,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,4.0,4.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,3,0,3,Win,2,Full Time,,2.0,1.0,18346.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,6.435,9.5,6.435,9.5,0.0,0.0,train,tier3
2,1930,Group Stage,1,0,1930-07-13,Parque Central,Belgium,USA,0,UEFA,CONCACAF,0,0,0,1,1861.09,1500.0,361.0899999999999,0.8888,0.5,0.5,0.0,2.6,1.8,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,4.0,4.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,0,3,-3,Loss,0,Full Time,,0.0,1.0,18346.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,6.435,9.5,6.435,9.5,0.0,0.0,train,tier3
3,1930,Group Stage,1,0,1930-07-14,Parque Central,Yugoslavia,Brazil,1,UEFA,CONMEBOL,0,0,0,1,1791.56,1930.75,-139.19000000000003,0.3098,0.4,0.6,-0.2,2.6,2.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,4.0,4.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,2,1,1,Win,2,Full Time,,2.0,1.0,24059.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,6.435,9.5,6.435,9.5,0.0,0.0,train,tier3
3,1930,Group Stage,1,0,1930-07-14,Parque Central,Brazil,Yugoslavia,0,CONMEBOL,UEFA,0,0,0,1,1930.75,1791.56,139.19000000000003,0.6902,0.6,0.4,0.2,2.2,1.8,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,4.0,4.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,1,2,-1,Loss,0,Full Time,,0.0,1.0,24059.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,6.435,9.5,6.435,9.5,0.0,0.0,train,tier3
4,1930,Group Stage,1,0,1930-07-14,Pocitos,Romania,Peru,1,UEFA,CONMEBOL,0,0,0,1,1630.28,1687.5,-57.22000000000003,0.4184,0.6,0.2,0.4,2.2,1.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,4.0,4.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,3,1,2,Win,2,Full Time,,1.0,1.0,2549.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,6.435,9.5,6.435,9.5,0.0,0.0,train,tier3
4,1930,Group Stage,1,0,1930-07-14,Pocitos,Peru,Romania,0,CONMEBOL,UEFA,0,0,0,1,1687.5,1630.28,57.22000000000003,0.5816,0.2,0.6,-0.4,1.0,3.6,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,4.0,4.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,1,3,-2,Loss,0,Full Time,,0.0,1.0,2549.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,6.435,9.5,6.435,9.5,0.0,0.0,train,tier3
5,1930,Group Stage,1,0,1930-07-15,Parque Central,Argentina,France,1,CONMEBOL,UEFA,0,0,0,1,1741.96,1432.82,309.1400000000001,0.8556,0.7,0.3,0.4,2.0,0.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,4.0,2.0,2.0,5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,1,0,1,Win,2,Full Time,,0.0,1.0,23409.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,6.435,9.5,6.435,9.5,0.0,0.0,train,tier3
5,1930,Group Stage,1,0,1930-07-15,Parque Central,France,Argentina,0,UEFA,CONMEBOL,0,0,0,1,1432.82,1741.96,-309.1400000000001,0.1444,0.3,0.7,-0.4,1.6,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,2.0,4.0,-2.0,5,1.0,4.0,1.0,3.0,1.0,1.0,4.0,0.0,0.0,,,,,,,,,,,,,0.0,,,0,1,-1,Loss,0,Full Time,,0.0,1.0,23409.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,6.435,9.5,6.435,9.5,0.0,0.0,train,tier3
