fixture_id,date,stage,city,country,home_team,away_team,result_available,home_host_nation,home_current_elo,home_form_10,home_goals_scored_form10,home_goals_conceded_form10,home_last_5_pts,home_intl_matches_available,home_wc_appearances,home_wc_wins,home_wc_finals,home_wc_semis,home_last_wc_year,home_squad_avg_age_2026,home_avg_club_prestige,home_max_club_prestige,home_players_with_recent_data,home_squad_xg_p90,home_squad_goals_p90,home_squad_key_passes_p90,home_squad_interceptions_p90,home_squad_pass_accuracy,home_squad_prog_carries_p90,away_host_nation,away_current_elo,away_form_10,away_goals_scored_form10,away_goals_conceded_form10,away_last_5_pts,away_intl_matches_available,away_wc_appearances,away_wc_wins,away_wc_finals,away_wc_semis,away_last_wc_year,away_squad_avg_age_2026,away_avg_club_prestige,away_max_club_prestige,away_players_with_recent_data,away_squad_xg_p90,away_squad_goals_p90,away_squad_key_passes_p90,away_squad_interceptions_p90,away_squad_pass_accuracy,away_squad_prog_carries_p90,elo_diff,home_elo_win_prob,form_diff,home_score,away_score
1,2026-06-11,Group Stage,Mexico City,Mexico,Mexico,South Africa,0,1,1975.69,0.7456,1.2,0.4,11,10,17,0,0,0,2022,32.2,5.0,5.0,20,0.0974,0.0218,0.7864,0.5024,0.7979,6.335,0,1545.44,0.4905,1.4,1.0,5,10,3,0,0,0,2010,,5.0,5.0,21,0.1675,0.148,0.4614,0.5832,0.8137,4.335,430.25,0.8118,0.2551,,
2,2026-06-11,Group Stage,Zapopan,Mexico,South Korea,Czech Republic,0,0,1845.27,0.6191,1.8,1.2,9,10,11,0,0,0,2022,32.0,5.0,5.0,0,,,,,,,0,1741.23,0.6411,1.8,1.3,11,10,1,0,0,0,2006,,5.0,5.0,23,0.0976,0.0638,0.5952,0.5527,0.7471,4.6552,104.03999999999996,0.6454,-0.022,,
3,2026-06-12,Group Stage,Toronto,Canada,Canada,Bosnia and Herzegovina,0,1,1835.73,0.6617,1.1,0.4,9,10,2,0,0,0,2022,31.6,5.237,9.5,22,0.1662,0.1175,0.4591,0.5552,0.7859,4.7087,0,1645.35,0.5623,2.0,1.1,7,10,1,0,0,0,2014,,5.0,5.0,0,,,,,,,190.3800000000001,0.7495,0.0994,,
4,2026-06-12,Group Stage,Inglewood,United States,USA,Paraguay,0,1,1835.43,0.5711,1.8,1.7,9,10,11,0,0,1,2022,28.8,5.575,9.0,21,0.0878,0.0695,0.6485,0.4169,0.7475,4.1225,0,1865.19,0.4857,1.0,1.0,6,10,8,0,0,0,2010,,5.0,5.0,20,0.0647,0.0656,0.5907,0.8532,0.7902,5.491,-29.75999999999999,0.4573,0.0854,,
5,2026-06-13,Group Stage,Santa Clara,United States,Qatar,Switzerland,0,0,1631.47,0.2564,0.9,1.7,1,10,1,0,0,0,2022,32.3,5.0,5.0,0,,,,,,,0,1872.59,0.7053,2.5,0.7,8,10,12,0,0,0,2022,31.2,5.521,9.5,20,0.1047,0.1358,0.4938,0.4814,0.8439,5.4684,-241.1199999999999,0.1997,-0.4489,,
6,2026-06-13,Group Stage,East Rutherford,United States,Brazil,Morocco,0,0,1930.75,0.6556,2.4,1.0,10,10,22,5,7,11,2022,32.0,7.596,10.0,20,0.1521,0.1122,0.4329,0.6414,0.8448,6.4939,0,1945.47,0.8544,2.0,0.3,11,10,6,0,0,1,2022,30.3,5.34,9.5,22,0.1281,0.0814,0.7813,0.3418,0.853,5.1601,-14.720000000000027,0.4788,-0.1988,,
7,2026-06-13,Group Stage,Foxborough,United States,Haiti,Scotland,0,0,1645.45,0.511,1.2,1.1,7,10,1,0,0,0,1974,,5.0,5.0,0,,,,,,,0,1789.06,0.6037,2.1,1.0,6,10,8,0,0,0,1998,,5.0,5.0,18,0.0222,0.0219,0.2843,0.3937,0.78,3.2588,-143.6099999999999,0.3043,-0.0927,,
8,2026-06-13,Group Stage,Vancouver,Canada,Australia,Turkey,0,0,1854.21,0.5431,1.4,1.0,6,10,6,0,0,0,2022,31.3,5.0,5.0,0,,,,,,,0,1920.12,0.8111,2.3,1.3,13,10,2,0,0,1,2002,,5.0,5.0,25,0.0817,0.101,0.6441,0.5683,0.8361,5.3803,-65.90999999999985,0.4063,-0.268,,
9,2026-06-14,Group Stage,Guadalupe,Mexico,Sweden,Tunisia,0,0,1729.32,0.411,1.5,2.1,7,10,12,0,1,4,2018,,5.0,5.0,0,,,,,,,0,1691.38,0.4879,1.3,1.0,6,10,6,0,0,0,2022,31.2,5.0,5.0,19,0.0539,0.0223,0.4684,0.4907,0.7785,4.5502,37.93999999999983,0.5544,-0.0769,,
10,2026-06-14,Group Stage,Arlington,United States,Netherlands,Japan,0,0,1938.39,0.8306,3.0,0.6,11,10,11,0,3,5,2022,30.4,6.071,9.5,19,0.0841,0.1034,0.7582,0.6089,0.8604,5.3421,0,1929.99,0.8527,1.9,0.6,15,10,7,0,0,0,2022,31.3,5.182,9.0,0,,,,,,,8.400000000000091,0.5121,-0.0221,,
11,2026-06-14,Group Stage,Houston,United States,Germany,Curaçao,0,0,1946.73,0.8744,2.6,0.9,15,10,10,1,2,5,2022,31.0,7.25,10.0,23,0.1068,0.1347,0.9429,0.4531,0.8839,6.8816,0,1585.94,0.3901,1.6,1.6,4,10,0,0,0,0,0,,5.0,5.0,0,,,,,,,360.78999999999996,0.8886,0.4843,,
12,2026-06-14,Group Stage,Philadelphia,United States,Ivory Coast,Ecuador,0,0,1752.32,0.7642,2.0,0.7,12,10,0,0,0,0,0,,5.0,5.0,24,0.0999,0.1127,0.6071,0.4337,0.8201,5.2992,0,1942.9,0.6694,0.9,0.5,9,10,4,0,0,0,2022,28.7,5.0,5.0,18,0.128,0.0968,0.4358,0.5004,0.7372,3.3734,-190.58000000000015,0.2503,0.0948,,
13,2026-06-15,Group Stage,Seattle,United States,Belgium,Egypt,0,0,1861.09,0.7922,3.5,1.0,11,10,14,0,0,2,2022,32.3,5.725,10.0,18,0.0766,0.0349,0.6274,0.3311,0.851,6.1522,0,1777.03,0.7375,1.4,0.5,8,10,3,0,0,0,2018,,5.0,5.0,22,0.2379,0.2356,0.8441,0.5889,0.8447,5.6925,84.05999999999995,0.6187,0.0547,,
14,2026-06-15,Group Stage,Inglewood,United States,Iran,New Zealand,0,0,1837.16,0.5919,1.7,0.8,8,10,6,0,0,0,2022,32.6,5.0,5.0,0,,,,,,,0,1708.68,0.2634,0.9,1.5,4,10,2,0,0,0,2010,,5.0,5.0,0,,,,,,,128.48000000000002,0.6769,0.3285,,
