fixture_id,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,stage,result_available
1,2026-06-11,Mexico,South Africa,2.0,1.0,FIFA World Cup,Mexico City,Mexico,False,Group Stage,1
2,2026-06-11,South Korea,Czech Republic,,,FIFA World Cup,Zapopan,Mexico,True,Group Stage,0
3,2026-06-12,Canada,Bosnia and Herzegovina,,,FIFA World Cup,Toronto,Canada,False,Group Stage,0
4,2026-06-12,USA,Paraguay,,,FIFA World Cup,Inglewood,United States,False,Group Stage,0
5,2026-06-13,Qatar,Switzerland,,,FIFA World Cup,Santa Clara,United States,True,Group Stage,0
6,2026-06-13,Brazil,Morocco,,,FIFA World Cup,East Rutherford,United States,True,Group Stage,0
7,2026-06-13,Haiti,Scotland,,,FIFA World Cup,Foxborough,United States,True,Group Stage,0
8,2026-06-13,Australia,Turkey,,,FIFA World Cup,Vancouver,Canada,True,Group Stage,0
9,2026-06-14,Sweden,Tunisia,,,FIFA World Cup,Guadalupe,Mexico,True,Group Stage,0
10,2026-06-14,Netherlands,Japan,,,FIFA World Cup,Arlington,United States,True,Group Stage,0
11,2026-06-14,Germany,Curaçao,,,FIFA World Cup,Houston,United States,True,Group Stage,0
12,2026-06-14,Ivory Coast,Ecuador,,,FIFA World Cup,Philadelphia,United States,True,Group Stage,0
13,2026-06-15,Belgium,Egypt,,,FIFA World Cup,Seattle,United States,True,Group Stage,0
14,2026-06-15,Iran,New Zealand,,,FIFA World Cup,Inglewood,United States,True,Group Stage,0
15,2026-06-15,Spain,Cape Verde,,,FIFA World Cup,Atlanta,United States,True,Group Stage,0
16,2026-06-15,Saudi Arabia,Uruguay,,,FIFA World Cup,Miami Gardens,United States,True,Group Stage,0
17,2026-06-16,Austria,Jordan,,,FIFA World Cup,Santa Clara,United States,True,Group Stage,0
18,2026-06-16,Argentina,Algeria,,,FIFA World Cup,Kansas City,United States,True,Group Stage,0
19,2026-06-16,France,Senegal,,,FIFA World Cup,East Rutherford,United States,True,Group Stage,0
20,2026-06-16,Iraq,Norway,,,FIFA World Cup,Foxborough,United States,True,Group Stage,0
21,2026-06-17,Portugal,DR Congo,,,FIFA World Cup,Houston,United States,True,Group Stage,0
22,2026-06-17,Uzbekistan,Colombia,,,FIFA World Cup,Mexico City,Mexico,True,Group Stage,0
23,2026-06-17,England,Croatia,,,FIFA World Cup,Arlington,United States,True,Group Stage,0
24,2026-06-17,Ghana,Panama,,,FIFA World Cup,Toronto,Canada,True,Group Stage,0
25,2026-06-18,Czech Republic,South Africa,,,FIFA World Cup,Atlanta,United States,True,Group Stage,0
26,2026-06-18,Mexico,South Korea,,,FIFA World Cup,Zapopan,Mexico,False,Group Stage,0
27,2026-06-18,Switzerland,Bosnia and Herzegovina,,,FIFA World Cup,Inglewood,United States,True,Group Stage,0
28,2026-06-18,Canada,Qatar,,,FIFA World Cup,Vancouver,Canada,False,Group Stage,0
29,2026-06-19,Turkey,Paraguay,,,FIFA World Cup,Santa Clara,United States,True,Group Stage,0
30,2026-06-19,Scotland,Morocco,,,FIFA World Cup,Foxborough,United States,True,Group Stage,0
31,2026-06-19,Brazil,Haiti,,,FIFA World Cup,Philadelphia,United States,True,Group Stage,0
32,2026-06-19,USA,Australia,,,FIFA World Cup,Seattle,United States,False,Group Stage,0
33,2026-06-20,Netherlands,Sweden,,,FIFA World Cup,Houston,United States,True,Group Stage,0
34,2026-06-20,Tunisia,Japan,,,FIFA World Cup,Guadalupe,Mexico,True,Group Stage,0
35,2026-06-20,Germany,Ivory Coast,,,FIFA World Cup,Toronto,Canada,True,Group Stage,0
36,2026-06-20,Ecuador,Curaçao,,,FIFA World Cup,Kansas City,United States,True,Group Stage,0
37,2026-06-21,Belgium,Iran,,,FIFA World Cup,Inglewood,United States,True,Group Stage,0
38,2026-06-21,New Zealand,Egypt,,,FIFA World Cup,Vancouver,Canada,True,Group Stage,0
39,2026-06-21,Spain,Saudi Arabia,,,FIFA World Cup,Atlanta,United States,True,Group Stage,0
40,2026-06-21,Uruguay,Cape Verde,,,FIFA World Cup,Miami Gardens,United States,True,Group Stage,0
41,2026-06-22,France,Iraq,,,FIFA World Cup,Philadelphia,United States,True,Group Stage,0
42,2026-06-22,Norway,Senegal,,,FIFA World Cup,East Rutherford,United States,True,Group Stage,0
43,2026-06-22,Argentina,Austria,,,FIFA World Cup,Arlington,United States,True,Group Stage,0
44,2026-06-22,Jordan,Algeria,,,FIFA World Cup,Santa Clara,United States,True,Group Stage,0
45,2026-06-23,Portugal,Uzbekistan,,,FIFA World Cup,Houston,United States,True,Group Stage,0
46,2026-06-23,Colombia,DR Congo,,,FIFA World Cup,Zapopan,Mexico,True,Group Stage,0
47,2026-06-23,England,Ghana,,,FIFA World Cup,Foxborough,United States,True,Group Stage,0
48,2026-06-23,Panama,Croatia,,,FIFA World Cup,Toronto,Canada,True,Group Stage,0
49,2026-06-24,Morocco,Haiti,,,FIFA World Cup,Atlanta,United States,True,Group Stage,0
