player_id,player_name,team,team_elo,position_final,age_2026,height_cm,weight_kg,club_wc22,club_prestige_wc22,market_value_M_proxy,injury_status,injury_notes,tournaments_played,recent_matches,recent_starts,recent_minutes,recent_goals,recent_shots,recent_xg,recent_key_passes,recent_interceptions,recent_progressive_carries,recent_passes_completed,xg_p90,goals_p90,key_passes_p90,interceptions_p90,prog_carries_p90,pass_accuracy,dribble_success,last_seen
57303,Kristjan Asllani,Albania,1663.94,MID,,,,,,30.0,0,Available,1,3,0,285,0,8,0.6286,8,6,22,160,0.1985,0.0,2.5263,1.8947,6.9474,0.829,1.0,2024-06-24
9893,Klaus Gjasula,Albania,1663.94,MID,,,,,,30.0,0,Available,1,1,0,98,1,2,0.1771,0,0,1,7,0.1626,0.9184,0.0,0.0,0.9184,0.7,,2024-06-19
54140,Mirlind Daku,Albania,1663.94,MID,,,,,,30.0,0,Available,1,1,0,97,0,1,0.1327,2,0,1,4,0.1231,0.0,1.8557,0.0,0.9278,0.8,,2024-06-19
36885,Armando Broja,Albania,1663.94,MID,,,,,,30.0,0,Available,1,2,0,168,0,2,0.229,2,1,7,11,0.1227,0.0,1.0714,0.5357,3.75,0.6471,0.0,2024-06-24
23987,Rey Manaj,Albania,1663.94,MID,,,,,,30.0,0,Available,1,3,0,236,0,2,0.2157,0,1,1,16,0.0823,0.0,0.0,0.3814,0.3814,0.6154,,2024-06-24
32030,Nedim Bajrami,Albania,1663.94,MID,,,,,,30.0,0,Available,1,3,0,247,1,3,0.1964,0,2,20,61,0.0716,0.3644,0.0,0.7287,7.2874,0.7722,0.6667,2024-06-24
7531,Qazim Laçi,Albania,1663.94,MID,,,,,,30.0,0,Available,1,3,0,234,1,1,0.1527,3,2,10,36,0.0587,0.3846,1.1538,0.7692,3.8462,0.6923,0.5,2024-06-24
7031,Elseid Hysaj,Albania,1663.94,MID,,,,,,30.0,0,Available,1,2,0,189,0,2,0.0978,1,2,5,47,0.0466,0.0,0.4762,0.9524,2.381,0.8103,0.0,2024-06-19
7108,Berat Djimsiti,Albania,1663.94,MID,,,,,,30.0,0,Available,1,3,0,283,0,2,0.1043,1,2,16,129,0.0332,0.0,0.318,0.636,5.0883,0.9021,1.0,2024-06-24
142800,Medon Berisha,Albania,1663.94,MID,,,,,,30.0,0,Available,1,1,0,93,0,1,0.0318,0,1,1,6,0.0308,0.0,0.0,0.9677,0.9677,0.6667,,2024-06-24
133698,Arbër Hoxha,Albania,1663.94,MID,,,,,,30.0,0,Available,1,3,0,283,0,2,0.0927,1,0,12,15,0.0295,0.0,0.318,0.0,3.8163,0.75,0.0,2024-06-24
41186,Jasir Asani,Albania,1663.94,MID,,,,,,30.0,0,Available,1,3,0,210,0,4,0.06,2,5,12,29,0.0257,0.0,0.8571,2.1429,5.1429,0.7436,0.75,2024-06-24
