team,host_nation,current_elo,form_10,goals_scored_form10,goals_conceded_form10,last_5_pts,intl_matches_available,wc_appearances,wc_wins,wc_finals,wc_semis,last_wc_year,squad_avg_age_2026,avg_club_prestige,max_club_prestige,players_with_recent_data,squad_xg_p90,squad_goals_p90,squad_key_passes_p90,squad_interceptions_p90,squad_pass_accuracy,squad_prog_carries_p90
Spain,0,2100.01,0.828,3.1,0.8,11,10,16,1,1,2,2022,30.0,7.595,10.0,25,0.0964,0.1278,0.9858,0.4381,0.8786,7.5396
Argentina,0,2040.35,0.8726,2.5,0.4,15,10,18,3,6,6,2022,31.3,5.646,9.5,24,0.1616,0.131,0.675,0.5138,0.8618,5.8133
France,0,2034.02,0.8902,2.7,1.1,13,10,16,2,4,7,2022,30.2,7.208,10.0,18,0.1366,0.079,0.9363,0.5415,0.8775,7.3101
England,0,1991.02,0.7113,2.2,0.5,10,10,16,1,1,3,2022,30.7,7.775,9.5,21,0.095,0.1177,0.48,0.3441,0.8686,5.9046
Germany,0,1946.73,0.8744,2.6,0.9,15,10,10,1,2,5,2022,31.0,7.25,10.0,23,0.1068,0.1347,0.9429,0.4531,0.8839,6.8816
Morocco,0,1945.47,0.8544,2.0,0.3,11,10,6,0,0,1,2022,30.3,5.34,9.5,22,0.1281,0.0814,0.7813,0.3418,0.853,5.1601
Ecuador,0,1942.9,0.6694,0.9,0.5,9,10,4,0,0,0,2022,28.7,5.0,5.0,18,0.128,0.0968,0.4358,0.5004,0.7372,3.3734
Netherlands,0,1938.39,0.8306,3.0,0.6,11,10,11,0,3,5,2022,30.4,6.071,9.5,19,0.0841,0.1034,0.7582,0.6089,0.8604,5.3421
Brazil,0,1930.75,0.6556,2.4,1.0,10,10,22,5,7,11,2022,32.0,7.596,10.0,20,0.1521,0.1122,0.4329,0.6414,0.8448,6.4939
Japan,0,1929.99,0.8527,1.9,0.6,15,10,7,0,0,0,2022,31.3,5.182,9.0,0,,,,,,
Portugal,0,1927.13,0.7356,2.6,1.0,8,10,8,0,0,2,2022,30.5,6.062,9.5,24,0.1768,0.1082,0.7452,0.4207,0.8788,8.7981
Colombia,0,1923.91,0.6624,2.4,1.1,9,10,6,0,0,0,2018,,5.0,5.0,24,0.0971,0.1246,0.6124,0.4463,0.8257,4.1621
Turkey,0,1920.12,0.8111,2.3,1.3,13,10,2,0,0,1,2002,,5.0,5.0,25,0.0817,0.101,0.6441,0.5683,0.8361,5.3803
Croatia,0,1905.19,0.8011,2.9,0.8,12,10,6,0,1,3,2022,31.7,5.643,10.0,20,0.1259,0.0432,0.6702,0.7134,0.8716,6.1614
Mexico,1,1975.69,0.9282,1.2,0.4,11,10,17,0,0,0,2022,32.2,5.0,5.0,20,0.0974,0.0218,0.7864,0.5024,0.7979,6.335
Norway,0,1885.18,0.7612,3.1,0.7,10,10,3,0,0,0,1998,,5.0,5.0,0,,,,,,
Switzerland,0,1872.59,0.7053,2.5,0.7,8,10,12,0,0,0,2022,31.2,5.521,9.5,20,0.1047,0.1358,0.4938,0.4814,0.8439,5.4684
Uruguay,0,1871.66,0.5735,1.0,0.9,6,10,14,2,2,5,2022,32.1,5.711,10.0,21,0.1615,0.2058,0.6716,0.5741,0.7835,5.5675
Paraguay,0,1865.19,0.4857,1.0,1.0,6,10,8,0,0,0,2010,,5.0,5.0,20,0.0647,0.0656,0.5907,0.8532,0.7902,5.491
Belgium,0,1861.09,0.7922,3.5,1.0,11,10,14,0,0,2,2022,32.3,5.725,10.0,18,0.0766,0.0349,0.6274,0.3311,0.851,6.1522
Australia,0,1854.21,0.5431,1.4,1.0,6,10,6,0,0,0,2022,31.3,5.0,5.0,0,,,,,,
Senegal,0,1853.95,0.7015,1.9,0.9,9,10,3,0,0,0,2022,30.2,5.4,9.0,22,0.1416,0.2016,0.5273,0.5738,0.8047,4.6528
South Korea,0,1845.27,0.6191,1.8,1.2,9,10,11,0,0,0,2022,32.0,5.0,5.0,0,,,,,,
